epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.1362,0.62595,2.5779,1.24825,0.00336,1,0.51886,0.46697,0.38931,2.56143,0.98976,0.000463798,0.000463798,0.000463798
2,53.0008,0.65721,1.69342,1.20181,0.84146,0.84288,0.93683,0.71735,0.66794,1.50884,1.28094,0.000930824,0.000930824,0.000930824
3,77.5075,0.68557,1.50219,1.20522,0.66751,0.9202,0.87874,0.62362,0.85042,2.17715,1.54677,0.00138842,0.00138842,0.00138842
4,101.803,0.6335,1.4171,1.15455,0.54872,0.93333,0.86844,0.64348,0.68648,1.95787,1.27445,0.00138656,0.00138656,0.00138656
5,125.846,0.66036,1.46464,1.17741,0.9027,0.84395,0.94567,0.76647,0.60263,1.71673,1.19623,0.00137241,0.00137241,0.00137241
6,149.868,0.65379,1.33319,1.20219,0.97623,0.93636,0.98361,0.8678,0.46531,1.0644,1.04276,0.00135826,0.00135826,0.00135826
7,173.916,0.60263,1.23752,1.15351,0.94321,0.96948,0.98511,0.8485,0.55645,1.05405,1.10514,0.00134412,0.00134412,0.00134412
8,197.93,0.62033,1.20684,1.17024,0.84712,0.87986,0.98576,0.82192,0.61596,1.35933,1.13822,0.00132997,0.00132997,0.00132997
9,222.414,0.57921,1.07438,1.10313,0.87033,0.82667,0.93081,0.73243,0.67413,1.3723,1.19611,0.00131582,0.00131582,0.00131582
10,246.786,0.60197,1.0839,1.13955,0.93851,0.97318,0.99021,0.86559,0.51658,0.95063,1.05129,0.00130168,0.00130168,0.00130168
11,271.104,0.55553,1.00168,1.07295,0.97614,1,0.99244,0.87711,0.48855,0.82324,1.05343,0.00128753,0.00128753,0.00128753
12,295.51,0.55069,0.96238,1.06488,0.89927,0.95812,0.995,0.88568,0.4759,0.898,1.02892,0.00127338,0.00127338,0.00127338
13,319.982,0.54643,0.94669,1.11885,0.97641,1,0.995,0.91988,0.4347,0.81072,0.99462,0.00125923,0.00125923,0.00125923
14,344.753,0.56444,0.94948,1.10915,0.97652,0.98934,0.995,0.86325,0.58493,0.92299,1.14204,0.00124509,0.00124509,0.00124509
15,368.984,0.53991,0.89767,1.09123,0.89902,0.96565,0.99449,0.88417,0.48674,0.91441,1.05718,0.00123094,0.00123094,0.00123094
16,392.85,0.51207,0.88277,1.10239,0.95563,0.99469,0.99081,0.89221,0.46993,0.80032,1.04948,0.00121679,0.00121679,0.00121679
17,417.283,0.52302,0.87136,1.08149,0.98109,0.96232,0.98349,0.91241,0.4278,0.87523,1.00708,0.00120265,0.00120265,0.00120265
18,440.982,0.48759,0.77357,1.03052,0.99189,0.96379,0.99157,0.88034,0.49988,0.77748,1.06972,0.0011885,0.0011885,0.0011885
19,465.443,0.49255,0.80188,1.06011,0.97264,0.99593,0.995,0.8978,0.43249,0.78879,1.00512,0.00117435,0.00117435,0.00117435
20,489.561,0.50652,0.81636,1.07699,0.96136,0.96661,0.98713,0.86497,0.47571,0.78787,1.00196,0.00116021,0.00116021,0.00116021
21,514.043,0.52893,0.78401,1.07804,0.97746,0.97899,0.99125,0.86297,0.50104,0.77825,1.04682,0.00114606,0.00114606,0.00114606
22,538.463,0.47476,0.72491,1.0574,0.98366,0.98638,0.99397,0.90193,0.40461,0.68806,0.964,0.00113191,0.00113191,0.00113191
23,562.534,0.47591,0.73287,1.06423,0.99611,0.97456,0.98907,0.87993,0.43699,0.76191,1.00706,0.00111776,0.00111776,0.00111776
24,586.997,0.44582,0.68876,1.00719,0.98883,0.98667,0.99449,0.91387,0.43181,0.6803,0.99988,0.00110362,0.00110362,0.00110362
25,611.329,0.46028,0.66321,1.04849,0.99389,1,0.995,0.94126,0.35923,0.55575,0.91932,0.00108947,0.00108947,0.00108947
26,635.868,0.46747,0.67006,1.06534,0.99196,1,0.995,0.92914,0.3787,0.52528,0.93876,0.00107532,0.00107532,0.00107532
27,660.11,0.44758,0.63907,1.01636,0.98354,0.98852,0.99397,0.91338,0.38052,0.52781,0.9614,0.00106118,0.00106118,0.00106118
28,684.659,0.45436,0.64835,1.03718,0.99546,0.98667,0.99449,0.93462,0.35532,0.48296,0.93312,0.00104703,0.00104703,0.00104703
29,709.166,0.47424,0.58001,1.03573,0.99292,0.98822,0.995,0.94909,0.31848,0.47998,0.88618,0.00103288,0.00103288,0.00103288
30,733.929,0.43393,0.57268,1.02177,0.97857,0.99772,0.995,0.94853,0.32398,0.46853,0.90219,0.00101873,0.00101873,0.00101873
